ip,req_count,avg_interval,std_interval,label
188.4.32381,59,2.0517241379310347,8.611184414896035,0
78.87.36111,1064,135.42238946378174,3960.966959984342,0
5.55.57722,298,1280.3164983164984,10420.18493671379,0
94.68.48424,6,10.2,20.4,0
85.74.33016,428,4.255269320843091,13.17839901397337,0
155.207.49741,57,0.32142857142857145,1.001911438507538,0
178.154.41018,132,3519.1068702290077,3676.6275292146147,1
52.29.37152,2,12.0,0.0,1
37.6.57300,123,7.360655737704918,45.94045782470804,0
109.242.55632,17,0.25,0.4330127018922193,0
79.130.41362,85,8.416666666666666,59.38217792869806,0
2.84.36738,50,0.061224489795918366,0.3135161529742291,0
94.66.55614,79,2.1794871794871793,11.401465931100297,0
69.171.34643,2,466243.0,0.0,0
66.220.39102,2,52739.0,0.0,0
173.252.38428,2,56023.0,0.0,0
18.197.34794,2,50.0,0.0,1
87.202.42584,237,210.63983050847457,2636.859868809029,0
178.154.33433,9,52782.5,63910.99313498422,1
94.67.58108,53,2372.673076923077,16933.493299831225,0
79.103.56881,3,670.5,665.5,0
37.6.55485,29,0.17857142857142858,0.5380899704756914,0
79.166.31036,50,0.3673469387755102,1.2238093347399959,0
87.202.54442,12,0.18181818181818182,0.385694607919935,0
46.103.52940,52,1.9411764705882353,5.66174560730163,0
83.212.56280,77,0.4473684210526316,2.4462362972862337,0
87.203.57152,37,0.5833333333333334,2.6391812703521857,0
46.103.57308,38,1.3243243243243243,3.280194902367302,0
79.103.57120,88,5.2298850574712645,38.198423614770476,0
85.72.48411,72,1592.9154929577464,13142.643933787564,0
87.202.42742,586,794.4188034188035,8910.857744778536,0
79.103.46664,55,16.85185185185185,59.80753309650184,0
46.103.56180,40,0.2564102564102564,0.868773043389611,0
87.203.59341,19,0.3888888888888889,0.950957931590205,0
79.167.49978,262,2.0689655172413794,16.281851615626916,0
87.202.37068,33,1.84375,8.849821237601356,0
176.92.39659,102,3.207920792079208,19.393944564629038,0
46.103.37857,269,7.604477611940299,66.11782999038589,0
109.242.47876,53,534.5384615384615,3815.407849262384,0
154.57.55126,46,1.8666666666666667,8.081803979035593,0
176.92.49394,243,10.938016528925619,47.02751393748358,0
79.129.57802,38,0.43243243243243246,2.11226201973837,0
79.166.53736,47,1.7173913043478262,6.1632255935058975,0
79.166.53698,202,2079.646766169154,29245.87784245364,0
94.66.52107,247,26.54471544715447,399.2737767666908,0
62.74.55036,44,6.767441860465116,5.921333952877807,0
207.46.38992,127,1921.404761904762,16219.599365405513,1
94.69.39494,25,0.125,0.5994789404140899,0
18.196.54821,14,25931.53846153846,52588.20516429865,1
46.177.57882,56,3.709090909090909,21.538694758523008,0
65.55.53379,2,1.0,0.0,0
5.54.30050,129,1.046875,5.304566686768581,0
35.158.47285,2,11.0,0.0,1
94.66.50143,40,5.153846153846154,14.58228370412582,0
18.197.58290,2,12.0,0.0,1
78.87.58338,15,0.14285714285714285,0.34992710611188266,0
5.228.58009,20,0.2631578947368421,0.7139294719079231,0
37.6.47120,222,1.2805429864253393,5.094849823870194,0
5.9.42887,2,340985.0,0.0,0
207.46.44575,7,69799.33333333333,103164.53455955147,1
54.80.50352,2,86142.0,0.0,0
2.85.37112,44,5564.046511627907,35348.38596095086,0
213.16.31866,32,0.4838709677419355,1.3882215994419362,0
176.58.33253,187,11.870967741935484,116.39700563403194,0
213.16.38513,92,21.956043956043956,186.5511102866581,0
141.237.31795,66,1.0615384615384615,3.4635549682012368,0
78.87.41409,210,1428.7368421052631,15339.073077384162,0
79.166.51837,53,1.2115384615384615,5.5689266279043625,0
2.84.55544,29,0.07142857142857142,0.2575393768188563,0
37.6.58161,86,489.6235294117647,4321.793598186836,0
2.84.39622,30,0.06896551724137931,0.2533954906327427,0
195.251.44688,813,133.1600985221675,3741.4778930420903,0
62.74.41081,2,4.0,0.0,0
66.102.48300,10,12637.666666666666,32014.50680203863,0
66.102.35705,4,149246.0,135886.0533339116,0
79.167.45646,37,12374.527777777777,42501.96271708852,0
94.66.52592,162,2440.2360248447203,28822.027209515145,0
79.167.36746,5,48475.0,9187.597373633653,0
46.73.37067,30,0.10344827586206896,0.30454347814923605,0
109.81.41728,2,2.0,0.0,0
155.207.45789,24,0.7391304347826086,1.9829137827811096,0
91.138.45592,83,2416.3536585365855,21734.40553557148,0
194.177.45501,101,47.16,461.8067933670965,0
79.103.55009,2,1.0,0.0,0
78.87.37042,2,2.0,0.0,0
194.63.44138,1338,332.9850411368736,7235.413265852552,0
141.237.44666,29,1.4642857142857142,4.829094434904383,0
5.144.56236,2,3.0,0.0,0
83.212.56904,97,3618.1770833333335,26237.714398042084,0
155.207.35413,186,1894.1135135135135,18941.83947867164,0
195.97.55807,31,0.06666666666666667,0.2494438257849295,0
79.103.31970,24,1.565217391304348,3.2279497727427104,0
118.100.48190,2,0.0,0.0,0
94.67.47461,573,300.72902097902096,7134.423740088874,0
94.67.45751,349,1.8735632183908046,8.28210173461752,0
155.207.35858,170,50.10650887573964,394.98920727402117,0
5.144.36411,72,1426.4929577464789,11919.479444245095,0
155.207.58422,117,881.801724137931,9204.53659533302,0
5.144.35250,19,19739.166666666668,77071.46327867835,0
94.67.30296,432,1026.7935034802783,11650.172345560253,0
155.207.45323,35,14.852941176470589,26.043100421892458,0
83.212.52650,183,71.49450549450549,495.3545821507293,0
62.103.55143,51,111.9,758.3937829386526,0
2.85.38590,689,153.51308139534885,3240.0477009574765,0
79.103.34612,30,0.06896551724137931,0.3649312153192541,0
91.138.55067,95,3806.851063829787,26257.99211261834,0
78.87.40032,114,159.01769911504425,1163.9712764626531,0
94.66.34259,42,3.926829268292683,10.179822807175222,0
155.207.34257,78,156.2987012987013,853.7776720990873,0
2.84.48801,50,0.3673469387755102,1.024075044105663,0
5.144.37831,12,11.909090909090908,15.441705896426583,0
94.66.51814,117,2.353448275862069,8.445825647502692,0
94.67.36613,216,4.097674418604651,20.30247422626003,0
87.202.34820,30,0.10344827586206896,0.3045434781492361,0
82.116.59195,1361,289.35073529411767,4483.543873375682,0
94.66.55949,59,1.1896551724137931,4.019164849566448,0
79.166.57370,24,0.043478260869565216,0.20393111999232308,0
155.207.51106,1536,285.0527687296417,6980.996394387694,0
2.85.58215,50,4506.959183673469,31212.428321305273,0
176.92.36879,8,89.0,197.56084053851794,0
37.6.56088,291,9.124137931034483,41.35112603372292,0
155.207.52400,22,87.0,237.6832626276687,0
5.144.56998,54,234.20754716981133,1660.629686873076,0
37.98.50290,1135,385.68430335097,7690.481456948283,0
155.207.51950,57,1665.017857142857,12109.153265330011,0
195.251.30658,430,999.7016317016318,16265.274952679647,0
79.131.46659,28,0.18518518518518517,0.47430549906909986,0
79.103.31251,118,6.051282051282051,35.90082401593327,0
62.74.42356,56,11.927272727272728,69.2160923342002,0
2.85.43161,43,1.6904761904761905,6.80856636625647,0
207.46.50067,3,1896.0,271.0,1
155.207.42212,113,886.3571428571429,8697.201948304508,0
37.6.47694,19,0.7777777777777778,1.4358719981466759,0
79.103.54284,78,224.6103896103896,1306.3568569935755,0
207.46.39483,21,314.2,334.2827545656521,1
87.202.47000,336,12.73134328358209,178.06304284312816,0
194.42.30621,28,13192.222222222223,67182.50274705478,0
87.202.45075,28,5.962962962962963,14.245158973623758,0
155.207.59552,22,2.1904761904761907,6.122705965883975,0
2.85.37741,55,105.0925925925926,747.0004033049264,0
79.130.35023,19,0.05555555555555555,0.22906142364542562,0
139.91.56615,204,1720.807881773399,17920.1479216696,0
199.47.35544,32389,5.296591330122268,387.85738291233105,1
77.49.32137,6,85867.2,2805.9839914012337,0
78.87.36929,5,12.25,12.47747971346778,0
91.140.56342,106,901.3238095238095,9174.576784317518,0
79.167.38100,131,24.26923076923077,204.93258885870586,0
94.69.31022,78,5161.597402597403,31326.92930357466,0
155.207.47675,204,80.00492610837438,542.6794361490803,0
35.153.38457,4,13498.666666666666,18940.898259820966,0
83.212.31453,87,1187.1744186046512,10940.10966017045,0
2.85.57281,93,1.076086956521739,5.477689324912891,0
155.207.52764,669,655.0523952095808,10153.120346681653,0
79.167.56133,56,8.8,14.354473487066988,0
188.73.34264,15,0.21428571428571427,0.5578749768504755,0
62.74.35815,3,17.5,2.5,0
